ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	COGID	MORPHEMES	ALIGNMENT
35	Yupua	Ear	(g)ámu	ámu	a m u		714	22		- a - m u - -
36	Yahuna	Ear	ā'mé̥	ā'mé̥	aː ʔ m ɨ		714	22		- aː ʔ m ɨ - -
37	Yupua	Ear	(n)g(n)ámu	gámu	g a m u		714	22		g a - m u - -
38	Desano	Ear hole as ear canal	gā́migobe̠	gā́migobe̠	g aː m i g ɔ b ɛ		722	24		g aː m i g ɔ b ɛ -
39	Yahuna	Ear hole as ear canal	āmokópe̠a	āmokópe̠a	aː m ɔ k ɔ p ɛ a		722	24		- aː m ɔ k ɔ p ɛ a
817	Desano	Earring	tsíāli	tsíāli	t s i aː ɺ i		725	549		t s i aː ɺ i
854	Yahuna	Ears on this headpiece	a(a)múa	amúa	a m u a		727	576		a m u a
1483	Yahuna	Earth worm	uaḥúa	uaḥúa	u a ħ u a		729	971		u a ħ u a
664	Desano	Earthenware	pe̠áme̠ye̠	pe̠áme̠ye̠	p ɛ a m ɛ j ɛ		731	444		p ɛ a m ɛ j ɛ
856	Yahuna	Edge painting of the headpiece	mé̠ne̠pikai	mé̠ne̠pikai	m ɛ n ɛ p i k a i		733	578		m ɛ n ɛ p i k a i
857	Yahuna	Edge painting of the headpiece	só(o)lika	sólika	s ɔ ɺ i k a		734	579		s ɔ - ɺ i k a
858	Yahuna	Edge painting of the headpiece	uá(a)lē̠ka	uálē̠ka	u a ɺ ɛː k a		734	579		- u a ɺ ɛː k a
1241	Desano	Egg	minimã́(g)ẽndiuli	minimã́ẽndiuli	m i n i m ã ẽ n d i u ɺ i		737	816		m i n i m ã ẽ n d i u ɺ i
1242	Yupua	Egg	mīrándia	mīrándia	m iː ɾ a n d i a		737	816		m iː ɾ - - - a n d i - - a
1243	Koretu	Egg	uai̯híaliāre̥	uai̯híaliāre̥	u a j h i a ɺ i aː ɾ ɨ		738	817		u a j h i a ɺ i aː ɾ ɨ
97	Desano	Elbow	de̥xkápuliru	de̥xkápuliru	d ɨ x k a p u ɺ i ɾ u		741	65		d ɨ x k a p u ɺ i ɾ u
98	Yahuna	Elbow	nikapé̠pe̠tū́liaka	nikapé̠pe̠tū́liaka	n i k a p ɛ p ɛ t uː ɺ i a k a		742	66		n i k a p ɛ p ɛ t uː ɺ i a k a
1405	Desano	Electric eel	tsaá	tsaá	t s a a		744	918		t s a a
1406	Yupua	Electric eel	né̠(x̯)ko	né̠ko	n ɛ k ɔ		745	919		n ɛ k ɔ -
1407	Yahuna	Electric eel	ne̠(x)kóa	ne̠kóa	n ɛ k ɔ a		745	919		n ɛ k ɔ a
1408	Koretu	Electric eel	mé̠(e̠)ko	mé̠ko	m ɛ k ɔ		745	919		m ɛ k ɔ -
1409	Yupua	Electric eel	ne̠(x̯)kó	ne̠kó	n ɛ k ɔ		745	919		n ɛ k ɔ -
2120	Yahuna	Emit a flatus	itape̠hā́lige̥	itape̠hā́lige̥	i t a p ɛ h aː ɺ i g ɨ		751	1369		i t a p ɛ h aː ɺ i g ɨ
2121	Koretu	Emit a flatus	hotōnié	hotōnié	h ɔ t ɔː n i e		750	1370		h ɔ t ɔː n i e
2122	Koretu	Emit a flatus	houá	houá	h ɔ u a		752	1371		h ɔ u a
539	Desano	Entrance	dix̯síporo	dix̯síporo	d i ç s i p ɔ ɾ ɔ		754	357		d i ç s i p ɔ ɾ ɔ
540	Yahuna	Entrance	kope̠re̠ká	kope̠re̠ká	k ɔ p ɛ ɾ ɛ k a		755	358		k ɔ p ɛ ɾ ɛ k a
450	Desano	Eve	yamika	yamika	j a m i k a		757	299		j a m i k a
451	Yupua	Eve	náige̠	náige̠	n a i g ɛ		757	299		n a - i g ɛ
452	Yahuna	Eve	málaai̯dyu	málaai̯dyu	m a ɺ a a j d j u		759	300		m a ɺ a a j d j u
453	Koretu	Eve	le̠rū́re̥	le̠rū́re̥	ɺ ɛ ɾ uː ɾ ɨ		758	301		ɺ ɛ ɾ uː ɾ ɨ
1800	Desano	Everything	pahā́nika	pahā́nika	p a h aː n i k a		762	1166		p a h aː n i k a
1801	Yupua	Everything	du(x)hā(d)yá	duhāyá	d u h aː j a		764	1167		- - d u h aː j a
1802	Yahuna	Everything	lí(x̯)taha	lítaha	ɺ i t a h a		764	1167		ɺ i t a h - - a
1803	Koretu	Everything	tirítote̠	tirítote̠	t i ɾ i t ɔ t ɛ		763	1168		t i ɾ i t ɔ t ɛ
541	Desano	Exit	wīgólotx̯(e)amu	wīgólotx̯amu	w iː g ɔ ɺ ɔ t ç a m u		767	359		w iː g ɔ ɺ ɔ t ç a m u
542	Yahuna	Exit	uā́pakopé̠a	uā́pakopé̠a	u aː p a k ɔ p ɛ a		768	360		u aː p a k ɔ p ɛ a
27	Desano	Eye	kuī́ri	kuī́ri	k u iː ɾ i		770	19		k u iː ɾ i
28	Yupua	Eye	yḗle̥	yḗle̥	j eː ɺ ɨ		770	19		j eː - ɺ ɨ
29	Yahuna	Eye	ya'koá	ya'koá	j a ʔ k ɔ a		772	20		j a ʔ k ɔ a
30	Koretu	Eye	siakṓkia	siakṓkia	s i a k ɔː k i a		771	21		s i a k ɔː k i a
66	Desano	Eyebrows	kuísipóali	kuísipóali	k u i s i p ɔ a ɺ i		775	44		k u i s i p ɔ a ɺ i
67	Yupua	Eyebrows	yímogat(š)i 	yímogati	j i m ɔ g a t i		778	45		j i m ɔ g a t i
68	Yahuna	Eyebrows	yakólipite̠koa	yakólipite̠koa	j a k ɔ ɺ i p i t ɛ k ɔ a		777	46		j a k ɔ ɺ i p i t ɛ k ɔ a
69	Koretu	Eyebrows	siagóne̥keri	siagóne̥keri	s i a g ɔ n ɨ k e ɾ i		776	47		s i a g ɔ n ɨ k e ɾ i
70	Desano	Eyelashes	kuísipóali	kuísipóali	k u i s i p ɔ a ɺ i		780	48		- - - k u - i s i p ɔ a ɺ i
71	Yupua	Eyelashes	yímogat(š)i 	yímogati	j i m ɔ g a t i		781	49		j i m ɔ g a t - - i
72	Yahuna	Eyelashes	yakotáya	yakotáya	j a k ɔ t a j a		781	49		j a - - k ɔ t a j a
73	Koretu	Eyelashes	siakorasé̠ḥoiri	siakorasé̠ḥoiri	s i a k ɔ ɾ a s ɛ ħ ɔ i ɾ i		780	48		s i a k ɔ ɾ a s ɛ ħ ɔ i ɾ i
74	Yahuna	Eyelashes	yakotá(d)ya	yakotáya	j a k ɔ t a j a		781	49		j a - - k ɔ t a j a
849	Yahuna	Face cover made of raffia	uaḥóa	uaḥóa	u a ħ ɔ a		786	574		u a ħ ɔ a
296	Desano	Fat (adjective)	é̥ye̠	é̥ye̠	ɨ j ɛ		788	201		ɨ j ɛ - -
297	Yupua	Fat (adjective)	yáui(x̯)ke̥tsi	yáuike̥tsi	j a u i k ɨ t s i		790	202		j a u i k ɨ t s i
1884	Desano	Fat (adjective)	ue̥agé̥gero	ue̥agé̥gero	u ɨ a g ɨ g e ɾ ɔ		789	1215		- u ɨ a g ɨ g e ɾ ɔ
1885	Yupua	Fat (adjective)	yauí	yauí	j a u i		788	201		- j a u i
1886	Yahuna	Fat (adjective)	úkirika	úkirika	u k i ɾ i k a		789	1215		- u - - k i ɾ i k a
1887	Koretu	Fat (adjective)	he̥yḗ̠ke̥ke̥	he̥yḗ̠ke̥ke̥	h ɨ j ɛː k ɨ k ɨ		789	1215		h ɨ j ɛː k ɨ k - - ɨ
1888	Koretu	Fat (adjective)	he̥iḗ̠ke̥ke̥	he̥iḗ̠ke̥ke̥	h ɨ i ɛː k ɨ k ɨ		789	1215		h ɨ i ɛː k ɨ k - - ɨ
941	Desano	Father	yée̥pe̥	yée̥pe̥	j e ɨ p ɨ		796	638		j e ɨ p - - ɨ
942	Yupua	Father	yé(e̥)pé	yépé	j e p e		796	638		j e - p - - e
943	Yahuna	Father	yipā́ki	yipā́ki	j i p aː k i		796	638		j i - p aː k i
944	Koretu	Father	hā́ke̥	hā́ke̥	h aː k ɨ		797	639		h aː k ɨ
945	Desano	Father	yépe̥	yépe̥	j e p ɨ		796	638		j e - p - - ɨ
958	Desano	Father-in-law	ne̥má	ne̥má	n ɨ m a		802	644		n ɨ m a
959	Koretu	Father-in-law	lē̠kíake̥	lē̠kíake̥	ɺ ɛː k i a k ɨ		803	645		ɺ ɛː k i a k ɨ
333	Desano	Feather	uex̯kopoáli	uex̯kopoáli	u e ç k ɔ p ɔ a ɺ i		805	225		u e ç k ɔ p ɔ a ɺ i
334	Yupua	Feather	póa	póa	p ɔ a		808	226		p ɔ a
335	Yahuna	Feather	kipōtiá	kipōtiá	k i p ɔː t i a		807	227		k i p ɔː t i a
336	Koretu	Feather	té̠ḥau̯īri	té̠ḥau̯īri	t ɛ ħ a w iː ɾ i		806	228		t ɛ ħ a w iː ɾ i
313	Desano	Feces	ge̥lá	ge̥lá	g ɨ ɺ a		810	211		g ɨ - - ɺ a
314	Yupua	Feces	yagé̥la	yagé̥la	j a g ɨ ɺ a		810	211		j a g ɨ ɺ a
315	Yahuna	Feces	itá	itá	i t a		811	212		i t a
316	Koretu	Feces	ge̥tā́ri	ge̥tā́ri	g ɨ t aː ɾ i		810	211		g ɨ t aː ɾ i
208	Desano	Female breast	axpī́ro	axpī́ro	a x p iː ɾ ɔ		815	141		a x p iː ɾ ɔ
209	Yupua	Female breast	óxpe̥le̥	óxpe̥le̥	ɔ x p ɨ ɺ ɨ		815	141		ɔ x p ɨ ɺ ɨ
210	Yahuna	Female breast	ṓpe̠a	ṓpe̠a	ɔː p ɛ a		815	141		ɔː - p ɛ - a
211	Koretu	Female breast	síḥuḥē̠re̥	síḥuḥē̠re̥	s i ħ u ħ ɛː ɾ ɨ		816	142		s i ħ u ħ ɛː ɾ ɨ
905	Desano	Fermented alcoholic drink	pé̠(a)ru	pé̠ru	p ɛ ɾ u		820	617		p ɛ - - - - - - - ɾ u
906	Yupua	Fermented alcoholic drink	báapa(d)yau̯alu	báapayau̯alu	b a a p a j a w a ɺ u		820	617		b a a p a j a w a ɺ u
907	Yahuna	Fermented alcoholic drink	hīsínoko	hīsínoko	h iː s i n ɔ k ɔ		822	618		h iː s i n ɔ k ɔ
908	Koretu	Fermented alcoholic drink	kíasiri	kíasiri	k i a s i ɾ i		821	619		k i a s i ɾ i
909	Desano	Fermented alcoholic drink	pē̠yáru	pē̠yáru	p ɛː j a ɾ u		820	617		p ɛː - - - j - - a ɾ u
910	Yupua	Fermented alcoholic drink	báapa(d)yau̯aru	báapayau̯aru	b a a p a j a w a ɾ u		820	617		b a a p a j a w a ɾ u
911	Desano	Fermented alcoholic drink	pē̠yálu	pē̠yálu	p ɛː j a ɺ u		820	617		p ɛː - - - j - - a ɺ u
1051	Desano	Fever	nīmáke̥li	nīmáke̥li	n iː m a k ɨ ɺ i		828	710		n iː m a k ɨ ɺ i
488	Desano	Field	tā́bolero	tā́bolero	t aː b ɔ ɺ e ɾ ɔ		830	325		t aː b ɔ ɺ e ɾ ɔ
337	Yahuna	Fin	uaihī́ro	uaihī́ro	u a i h iː ɾ ɔ		832	229		- u a i h iː ɾ ɔ -
338	Yahuna	Fin	kihī́roa	kihī́roa	k i h iː ɾ ɔ a		832	229		k i - - h iː ɾ ɔ a
825	Desano	Fine head feathers, gala jewelery (lingoa yamáhapoa geral: kangatára) mahápoali (macaw feathers)	mahā́poali	mahā́poali	m a h aː p ɔ a ɺ i		835	555		- - m a h aː p ɔ a ɺ i
826	Yupua	Fine head feathers, gala jewelery (lingoa yamáhapoa geral: kangatára) mahápoali (macaw feathers)	yamáhapoa	yamáhapoa	j a m a h a p ɔ a		835	555		j a m a h a p ɔ - - a
827	Yahuna	Fine head feathers, gala jewelery (lingoa yamáhapoa geral: kangatára) mahápoali (macaw feathers)	ui(i)báy(e)	uibáy	u i b a j		836	556		u i b a j
828	Koretu	Fine head feathers, gala jewelery (lingoa yamáhapoa geral: kangatára) mahápoali (macaw feathers)	mā́hoi̯re̥	mā́hoi̯re̥	m aː h ɔ j ɾ ɨ		835	555		- - m aː h ɔ j - - ɾ ɨ
107	Desano	Finger	mohṓtseri dix̯pelu	mohṓtseri_dix̯pelu	m ɔ h ɔː t s e ɾ i + d i ç p e ɺ u		840 841	73		m ɔ h - - ɔː t s e ɾ i + d i ç p e ɺ u
108	Yupua	Finger	muhúatx̯u	muhúatx̯u	m u h u a t ç u		840	74		m u h - u a t ç - - u
109	Yahuna	Finger	pitauaḥoa	pitauaḥoa	p i t a u a ħ ɔ a		843	75		p i t a u a ħ ɔ a
110	Koretu	Finger	simaoi̯e	simaoi̯e	s i m a ɔ j e		842	76		s i m a ɔ j e
111	Yupua	Finger	muhúua(t)su	muhúuasu	m u h u u a s u		840	74		m u h u u a - s - - u
112	Yupua	Finger	muhúuatse̠ru	muhúuatse̠ru	m u h u u a t s ɛ ɾ u		840	74		m u h u u a t s ɛ ɾ u
123	Desano	Fingernail	mohṓtsirupē̠ru	mohṓtsirupē̠ru	m ɔ h ɔː t s i ɾ u p ɛː ɾ u		848	87		m ɔ h ɔː t s i ɾ u p ɛː ɾ u
124	Yupua	Fingernail	muhúgat(š)i	muhúgati	m u h u g a t i		850	88		m u h u g a t i
125	Yahuna	Fingernail	mamálaḥe̠	mamálaḥe̠	m a m a ɺ a ħ ɛ		849	89		m a m a - ɺ a ħ ɛ
126	Koretu	Fingernail	simaoráso	simaoráso	s i m a ɔ ɾ a s ɔ		849	89		s i m a ɔ ɾ a s ɔ
358	Desano	Fire	pē̠ā́me	pē̠ā́me	p ɛː aː m e		853	240		p ɛː aː m e
359	Yupua	Fire	pie̥le̥	pie̥le̥	p i ɨ ɺ ɨ		853	240		p i ɨ ɺ ɨ
360	Yahuna	Fire	pē̠ká	pē̠ká	p ɛː k a		855	241		p ɛː k a
361	Koretu	Fire	hḗ̠hie̠kie̥	hḗ̠hie̠kie̥	h ɛː h i ɛ k i ɨ		854	242		h ɛː h i ɛ k i ɨ
620	Desano	Fire fans	uē̠ré̠no	uē̠ré̠no	u ɛː ɾ ɛ n ɔ		858	414		u ɛː ɾ ɛ n - ɔ
621	Yahuna	Fire fans	ue̠nia	ue̠nia	u ɛ n i a		858	414		u - - ɛ n i a
622	Desano	Fire fans	uē̠lé̠no	uē̠lé̠no	u ɛː ɺ ɛ n ɔ		858	414		u ɛː ɺ ɛ n - ɔ
1555	Desano	Firefly	gaxbitū̠ge̥	gaxbitū̠ge̥	g a x b i t ? g ɨ		862	1008		g a x b i t ? g ɨ
1556	Yahuna	Firefly	tā(a)pía	tāpía	t aː p i a		863	1009		t aː p i a
372	Desano	Firewood	pē̠á	pē̠á	p ɛː a		865	252		p ɛː - a
373	Yupua	Firewood	pé̠a	pé̠a	p ɛ a		865	252		p ɛ - a
374	Yahuna	Firewood	pē̠ká	pē̠ká	p ɛː k a		865	252		p ɛː k a
375	Koretu	Firewood	hḗ̠(e̠)kie̠ri	hḗ̠kie̠ri	h ɛː k i ɛ ɾ i		866	253		h ɛː k i ɛ ɾ i
1381	Desano	Fish	uai	uai	u a i		870	905		u a - - i
1382	Yupua	Fish	uái	uái	u a i		870	905		u a - - i
1383	Yahuna	Fish	uaie	uaie	u a i e		870	905		u a i - e
1384	Koretu	Fish	uaire̥	uaire̥	u a i ɾ ɨ		870	905		u a i ɾ ɨ
719	Yahuna	Fish arrow with double iron point	ālitsé̠tse̠a	ālitsé̠tse̠a	aː ɺ i t s ɛ t s ɛ a		875	481		aː ɺ i t s ɛ t s ɛ a
775	Desano	Fish trap	úai̯ru	úai̯ru	u a j ɾ u		877	523		u a j ɾ u
1389	Desano	Fishbone	uai(g)ōā	uaiōā	u a i ɔː aː		879	908		u a i - - ɔː - aː
1390	Yupua	Fishbone	uáig(n)ṓā	uáigṓā	u a i g ɔː aː		879	908		u a i g - ɔː - aː
1391	Yahuna	Fishbone	uaiuaká	uaiuaká	u a i u a k a		879	908		u a i - u a k a
1392	Koretu	Fishbone	uaikuā́re̥	uaikuā́re̥	u a i k u aː ɾ ɨ		879	908		u a i k u aː ɾ ɨ
780	Yahuna	Fishing line	potákano	potákano	p ɔ t a k a n ɔ		884	527		p ɔ t a k a n ɔ
776	Desano	Fishing rod	u(e)hḗ̠riru	uhḗ̠riru	u h ɛː ɾ i ɾ u		886	524		- u h ɛː ɾ i ɾ u
777	Yupua	Fishing rod	bitai̯góp̌e̠ka	bitai̯góp̌e̠ka	b i t a j g ɔ ? ɛ k a		888	525		b i t a j g ɔ ? ɛ k a
778	Yahuna	Fishing rod	potá	potá	p ɔ t a		887	526		p ɔ t a
779	Koretu	Fishing rod	koḥé̠liri	koḥé̠liri	k ɔ ħ ɛ ɺ i ɾ i		886	524		k ɔ ħ ɛ ɺ i ɾ i
767	Desano	Fishnet	uhḗrike	uhḗrike	u h eː ɾ i k e		891	517		u h eː ɾ i k e
768	Yupua	Fishnet	uáikóa(d)ya	uáikóaya	u a i k ɔ a j a		893	518		u a i k ɔ a j a
769	Yahuna	Fishnet	uapúa	uapúa	u a p u a		892	519		- u - a p u a
770	Koretu	Fishnet	má(a)hāpu	máhāpu	m a h aː p u		892	519		m a h aː p u -
771	Yahuna	Fishnet	ua(x)púa	uapúa	u a p u a		892	519		- u - a p u a
596	Desano	Flat basket for mandioca (beijús), etc.	u(e)hḗ̠ku̠ru̠	uhḗ̠ku̠ru̠	u h ɛː k ʊ ɾ ʊ		897	396		- u h ɛː k ʊ ɾ ʊ
597	Yupua	Flat basket for mandioca (beijús), etc.	náxkala	náxkala	n a x k a ɺ a		897	396		n a x - k a ɺ a
598	Yahuna	Flat basket for mandioca (beijús), etc.	popóloka	popóloka	p ɔ p ɔ ɺ ɔ k a		899	397		p ɔ p ɔ ɺ ɔ k a
599	Koretu	Flat basket for mandioca (beijús), etc.	te̥lolípuku	te̥lolípuku	t ɨ ɺ ɔ ɺ i p u k u		898	398		t ɨ ɺ ɔ ɺ i p u k u
608	Desano	Flat, coarse basket for storing fruits, bulbs, etc.	ōé̠	ōé̠	ɔː ɛ		902	404		ɔː ɛ
317	Desano	Flatus	tā́bole	tā́bole	t aː b ɔ ɺ e		904	213		- t aː b - - ɔ ɺ - - e
318	Yahuna	Flatus	itope̠ḥálika	itope̠ḥálika	i t ɔ p ɛ ħ a ɺ i k a		904	213		i t ɔ p ɛ ħ a ɺ i k a
319	Desano	Flatus	tā́bore	tā́bore	t aː b ɔ ɾ e		904	213		- t aː b - - ɔ ɾ - - e
1571	Desano	Flea	dix̯(t)sī́nome̠	dix̯sī́nome̠	d i ç s iː n ɔ m ɛ		908	1021		d i ç s iː n ɔ m ɛ
1572	Yupua	Flea	(d)yīma(x)saṅ(g)ẽ́ẽ	yīmasaṅẽ́ẽ	j iː m a s a ŋ ẽ ẽ		911	1022		j iː m a s a ŋ ẽ ẽ
1573	Yahuna	Flea	kṓle̠nika	kṓle̠nika	k ɔː ɺ ɛ n i k a		910	1023		k ɔː ɺ ɛ n i k a
1574	Koretu	Flea	hohṓkia	hohṓkia	h ɔ h ɔː k i a		909	1024		h ɔ h ɔː k i a
283	Desano	Flesh	dī́ro	dī́ro	d iː ɾ ɔ		913	190		d iː ɾ - ɔ
284	Yupua	Flesh	yadíi	yadíi	j a d i i		915	191		j a d i i
285	Yahuna	Flesh	diia	diia	d i i a		913	190		d i - i a
286	Koretu	Flesh	sikiaī́re̥	sikiaī́re̥	s i k i a iː ɾ ɨ		914	192		s i k i a iː ɾ ɨ
763	Yahuna	Flutteral for the tips of the poison lances	be̠hóia	be̠hóia	b ɛ h ɔ i a		918	513		b ɛ h ɔ i a
1508	Desano	Fly	moámala	moámala	m ɔ a m a ɺ a		920	984		m ɔ a m a ɺ a
387	Yahuna	Fog	namátsika	namátsika	n a m a t s i k a		922	261		n a m a t s i k a
388	Yahuna	Fog	namásiga	namásiga	n a m a s i g a		922	261		n a m a - s i g a
150	Desano	Foot	gubū́pama	gubū́pama	g u b uː p a m a		925	103		g u b uː p a m a
151	Yupua	Foot	gé̥apa	gé̥apa	g ɨ a p a		925	103		g ɨ - a p - - a
152	Yahuna	Foot	ūpúa	ūpúa	uː p u a		925	103		- uː p u - - - a
153	Koretu	Foot	sikoxú̠la	sikoxú̠la	s i k ɔ x ʊ ɺ a		926	104		s i k ɔ x ʊ ɺ a
154	Yahuna	Foot	ōpúa	ōpúa	ɔː p u a		925	103		- ɔː p u - - - a
163	Desano	Foot tendon	nyī̃(g)ã́(ṅ)(g)ẽ(g)õã	nyī̃ã́ẽõã	n j ĩː ã ẽ ɔ̃ ã		931	112		n - j ĩː - ã ẽ ɔ̃ ã
164	Desano	Foot tendon	uyī̃ṅ(g)ã́(ṅ)(g)ẽ(g)õã	uyī̃ṅã́ẽõã	u j ĩː ŋ ã ẽ ɔ̃ ã		931	112		- u j ĩː ŋ ã ẽ ɔ̃ ã
51	Desano	Forehead	diapu	diapu	d i a p u		934	34		d i - a p - - u
52	Yupua	Forehead	de̥xpé̥li	de̥xpé̥li	d ɨ x p ɨ ɺ i		934	34		d ɨ x - p ɨ ɺ i
53	Yahuna	Forehead	kóa	kóa	k ɔ a		936	35		k ɔ a
54	Koretu	Forehead	sikoayéke̥	sikoayéke̥	s i k ɔ a j e k ɨ		935	36		s i k ɔ a j e k ɨ
497	Desano	Forest	nē̃(g)ē̃́	nē̃ē̃́	n ẽː ẽː		939	330		n ẽː ẽː
498	Yupua	Forest	makáge̥	makáge̥	m a k a g ɨ		940	331		m a k - - - a g - - ɨ
499	Yahuna	Forest	makáka	makáka	m a k a k a		940	331		m a k - - - a k - - a
500	Koretu	Forest	mākiálokē̠re̥	mākiálokē̠re̥	m aː k i a ɺ ɔ k ɛː ɾ ɨ		940	331		m aː k i a ɺ ɔ k ɛː ɾ ɨ
501	Yupua	Forest	ma(x)káge̥	makáge̥	m a k a g ɨ		940	331		m a k - - - a g - - ɨ
690	Desano	Forest knife	yoā́limhi	yoā́limhi	j ɔ aː ɺ i m h i		945	463		j ɔ aː ɺ i m h i
691	Yahuna	Forest knife	sarasára	sarasára	s a ɾ a s a ɾ a		946	464		s a ɾ a s a ɾ a
1086	Desano	Forest spirit	bōlēró	bōlēró	b ɔː ɺ eː ɾ ɔ		948	731		- - b - ɔː ɺ eː ɾ - - ɔ
1087	Yupua	Forest spirit	bulḗ̠ro	bulḗ̠ro	b u ɺ ɛː ɾ ɔ		948	731		- - b - u ɺ ɛː ɾ - - ɔ
1088	Yahuna	Forest spirit	bulé̠ru	bulé̠ru	b u ɺ ɛ ɾ u		948	731		- - b - u ɺ ɛ ɾ - - u
1089	Yahuna	Forest spirit	ua(d)yáule̠ru	uayáule̠ru	u a j a u ɺ ɛ ɾ u		948	731		u a j a u ɺ ɛ ɾ - - u
1090	Yahuna	Forest spirit	ua(d)yáule̠ruka	uayáule̠ruka	u a j a u ɺ ɛ ɾ u k a		948	731		u a j a u ɺ ɛ ɾ u k a
1091	Yahuna	Forest spirit	nokolī́(d)yau̯a	nokolī́yau̯a	n ɔ k ɔ ɺ iː j a w a		949	732		n ɔ k ɔ ɺ iː j a w a
2298	Desano	Forward! let's go	íná 	íná	i n a		955	1505		i n a
2299	Yupua	Forward! let's go	tsahá	tsahá	t s a h a		956	1506		t s a h a
2300	Yahuna	Forward! let's go	láho	láho	ɺ a h ɔ		957	1507		ɺ a h ɔ
2301	Koretu	Forward! let's go	téa	téa	t e a		956	1506		t - e - a
2302	Yahuna	Forward! let's go	dáho	dáho	d a h ɔ		956	1506		d - a h ɔ
1446	Desano	Frog	ōmá	ōmá	ɔː m a		961	945		ɔː m - - a
1447	Yupua	Frog	úma	úma	u m a		961	945		u m - - a
1448	Yahuna	Frog	ūmáka	ūmáka	uː m a k a		961	945		uː m a k a
1449	Koretu	Frog	tṓnyako	tṓnyako	t ɔː n j a k ɔ		962	946		t ɔː n j - a k ɔ
1450	Yahuna	Frog	tṓniaka	tṓniaka	t ɔː n i a k a		962	946		t ɔː n - i a k a
1456	Yahuna	Frog or toad	pā(d)yamóalika	pāyamóalika	p aː j a m ɔ a ɺ i k a		967	950		p aː j a m ɔ a ɺ i k a
2038	Desano	Front of (the house)	mā́kela hógoro	mā́kela_hógoro	m aː k e ɺ a + h ɔ g ɔ ɾ ɔ		969 970	1308		m aː k e ɺ a + h ɔ g ɔ ɾ ɔ
2039	Desano	Front of (the house)	mā́kena hógoro	mā́kena_hógoro	m aː k e n a + h ɔ g ɔ ɾ ɔ		969 970	1308		m aː k e n a + h ɔ g ɔ ɾ ɔ
1636	Desano	Fruit	yuxke̥de̥xká	yuxke̥de̥xká	j u x k ɨ d ɨ x k a		974	1067		j u x k ɨ d ɨ x k a
1637	Yupua	Fruit	yabúdiga	yabúdiga	j a b u d i g a		974	1067		j a - b u d i - g a
1638	Yahuna	Fruit	yapuliká	yapuliká	j a p u ɺ i k a		974	1067		j a - p u ɺ i - k a
1639	Koretu	Fruit	toké̥likē̠re̥	toké̥likē̠re̥	t ɔ k ɨ ɺ i k ɛː ɾ ɨ		975	1068		t ɔ k ɨ ɺ i k ɛː ɾ ɨ
1640	Yupua	Fruit	yabúdigá	yabúdigá	j a b u d i g a		974	1067		j a - b u d i - g a
1797	Desano	Full	ohóte̥liri	ohóte̥liri	ɔ h ɔ t ɨ ɺ i ɾ i		980	1163		ɔ h ɔ t ɨ ɺ i ɾ i
1798	Yupua	Full	mó(n)ya	móya	m ɔ j a		982	1164		m ɔ j a
1799	Koretu	Full	pusíḥae̠	pusíḥae̠	p u s i ħ a ɛ		981	1165		p u s i ħ a ɛ
464	Desano	Full moon	buhī́bāge̥	buhī́bāge̥	b u h iː b aː g ɨ		984	308		b u h iː b aː g ɨ
465	Yupua	Full moon	áue̠túua	áue̠túua	a u ɛ t u u a		988	309		a u ɛ t u u a
466	Yahuna	Full moon	ayaká hiadyaāníke̠ka	ayaká_hiadyaāníke̠ka	a j a k a + h i a d j a aː n i k ɛ k a		986 987	310		a j a k a + h i a d j a aː n i k ɛ k a
467	Koretu	Full moon	haiakulísi	haiakulísi	h a i a k u ɺ i s i		985	311		h a i a k u ɺ i s i
269	Desano	Fur	gaxtsī́ro	gaxtsī́ro	g a x t s iː ɾ ɔ		990	178		g a x t s iː ɾ ɔ
1755	Desano	Genipapo	kōlá	kōlá	k ɔː ɺ a		992	1134		k ɔː ɺ a
1756	Desano	Genipapo	kōrá	kōrá	k ɔː ɾ a		992	1134		k ɔː ɾ a
2061	Desano	Get up, get up	nī(g)iní	nīiní	n iː i n i		995	1322		n iː i n i
1082	Desano	Ghost	uaxtí	uaxtí	u a x t i		997	729		u a x t i
1083	Yupua	Ghost	uá(x)ti	uáti	u a t i		997	729		u a - t i
1084	Yahuna	Ghost	ṓpire̠koa	ṓpire̠koa	ɔː p i ɾ ɛ k ɔ a		998	730		ɔː p i ɾ ɛ k ɔ a
1085	Koretu	Ghost	ā́ti	ā́ti	aː t i		997	729		- aː - t i
1206	Desano	Giant anteater	būgú	būgú	b uː g u		1002	791		b uː - - g u
1207	Yupua	Giant anteater	yapú	yapú	j a p u		1004	792		j a p u
1208	Yahuna	Giant anteater	ue̠ága	ue̠ága	u ɛ a g a		1002	791		- u ɛ a g a
1209	Koretu	Giant anteater	hū́niupu̠	hū́niupu̠	h uː n i u p ʊ		1003	793		h uː n i u p ʊ
1197	Desano	Giant armadillo	uex̯képamu	uex̯képamu	u e ç k e p a m u		1007	784		u e ç k e p a m - - u
1198	Yupua	Giant armadillo	ui̯ke̥pamólo	ui̯ke̥pamólo	u j k ɨ p a m ɔ ɺ ɔ		1007	784		u - j k ɨ p a m ɔ ɺ ɔ
1199	Yahuna	Giant armadillo	kapilíyaka	kapilíyaka	k a p i ɺ i j a k a		1009	785		k a p i ɺ i j a k a
